"","ID","ID_year","ID_Rater1","ID_Rater2","Score_Rater1","Score_Rater2","C_extra_1","C_extra_2","C_sum_1","C_sum_2","L_extra_1","L_extra_2","L_struct_1","L_struct_2","L_style_1","L_style_2","L_syntax_1","L_syntax_2"
"1",100001,11,"0001a9c1","0001d668",40,33,0,0,27,20,0,0,5,5,4,3,4,5
"2",100002,11,"0001d585","0001dbf1",32,25,0,0,23,19,0,0,5,4,3,2,1,0
"3",100003,10,"0001dbcb","0001a9cc",7,19,0,0,2,13,0,0,4,3,1,3,0,0
"6",100004,13,"0001d5ea","0000ce13",39,34,0,0,26,22,0,0,4,6,6,5,3,1
"7",100005,14,"0001d4e2","0001dc0c",14,16,0,0,11,9,0,0,1,4,2,3,0,0
"8",100006,13,"0000c9bf","0001d8b4",31,29,0,0,19,22,0,0,5,4,4,2,3,1
"9",100007,11,"0000cc35","0000cabb",27,32,0,0,16,20,0,0,5,5,2,5,4,2
"10",100008,12,"0001dc08","0001dbeb",28,18,0,0,18,9,0,0,6,5,4,3,0,1
"11",100009,12,"0000cc35","0001d3a8",25,23,0,0,19,17,0,0,6,4,0,1,0,1
"12",100010,12,"0001a9c0","0001d2d3",43,37,1,2,26,22,2,1,5,5,5,5,4,2
"13",100011,10,"0001a9c1","0001dc0b",26,30,0,0,18,19,0,0,3,5,5,3,0,3
"14",100012,10,"0001d578","0001dbdc",28,32,0,0,18,22,0,0,4,4,3,4,3,2
"15",100013,11,"0000cabf","0000c9bd",22,25,0,0,14,17,0,0,6,4,2,4,0,0
"16",100014,13,"0001b120","0001d182",26,39,0,0,21,24,0,0,4,6,0,5,1,4
"17",100015,14,"0001d668","0001a9c1",36,32,0,0,27,24,0,0,5,5,3,3,1,0
"18",100016,11,"0001d669","0001dbd7",29,25,0,0,17,16,0,0,6,6,5,3,1,0
"19",100017,13,"0001d32b","0001db9d",38,28,1,0,25,15,0,0,6,5,4,5,2,3
"20",100018,13,"0001d33e","0001b109",33,43,0,1,24,29,0,0,4,5,4,5,1,3
"21",100019,11,"0001dbe1","0000cabc",39,28,1,0,24,16,0,0,6,5,5,6,3,1
"22",100020,13,"0001d49a","0001d4e2",41,41,1,0,28,26,0,0,5,6,4,5,3,4
"23",100021,12,"0001b0f6","0001dbb3",27,28,0,0,18,13,0,0,5,6,3,5,1,4
"26",100024,14,"0000ccf0","0001d3a4",31,30,0,0,22,21,0,0,4,5,4,2,1,2
"27",100025,13,"0001ae08","0001dbd8",26,25,0,0,11,13,0,0,6,5,5,5,4,2
"28",100026,13,"0001d4dd","0001ae1b",32,23,0,0,20,14,0,0,6,4,5,3,1,2
"29",100027,11,"0001ae09","0001b120",40,32,0,0,23,19,1,0,6,6,4,4,6,3
